node_id,rug_flag
116GwDnt6YgA6bX3CedbQC9LnjVyrSpVyCGiKDUzPdt,0
11ZDwHhECwC7tnvKmjSZ4kbLGqjgt4yBpz6Bn9FhDzF,1
121SgMAV3Sp9mBpytYF6fzLN39vWnhRK76QFjEMipump,0
121xPdJZm9Snkp4W2s9gYkyfnC6CUHbZP22UiSUXv2zM,0
1225x1xsKrcoMauWLeTX1o7Esb5N1xwnJUJGeSTQpump,0
122uDik1f4XzcSja2udygCYPAAFSxxTQk1pJVX5ppump,0
123trU23yqZDZAxMaBC7KFgV6cXGTfeQu2HDW2tvpump,0
123vBVS9fqY6xEE3a7RRtSNVj8Gp27whZpJKFdzupump,0
127VaxWepdGJ7JxTBLqYZv5KPmiH8LhcRUPtyNNnfZR3,0
128At5fHQowgtLDVwJqLyNE2QivKWeuBAwSx4hepbonk,0
12AtzDwH8DQUuFfFuNrNtQsgZuCmBCyJWaPf9gKVpump,0
12B9fmCgSr2M9GAdafphWQNfdJu9LucjR95H45NQyxot,0
12CA8yij8RBmJm6tzHfbz74hXLtTgtXuM1RgTZktpump,0
12CQXfxgYxBTP6wPEuyX397uVGt7Eg3qjfUKnn4zpump,0
12DMPgViZvQW2qfHsh8B4TTfDQcNg45h8M4WZAkRpump,0
12DjeJshoLzgkCud4LkfywJi2RVfvsBox8se392Kpump,0
12FVeHe4Mm8UxZNJS5RL28jh33owvb1XfLbBDkGWpump,0
12GJANsSSh8p1DjuSKZBA6GdiyPDboUGhb8oDdqPpump,0
12H3ucBXzj6m5m1AuGwdFSiGe6R7nkgMuRdE44cQpump,0
12Jfa1xXAKSuJrP34t7DtyEuLFXgKu7f4n5RmGKqpump,0
12Kb8oMbsyTtQcnTNugZjjrxj8LY1vVSqhCiTkQWpump,0
12Kf3wZY8ngjS2KPgTADEVrhEBFHMn6SbdVGmzPzpump,0
12LzSb86p2YmEPCLbHFsa5AURGohm5J4jNTh7EnUpump,0
12M2PP2SHf6Zhc8dSS1v23FhoWLgzmc2hA4rPWubpump,0
12MChjUAHxNeoG93K43XvbKjW6pA8ZfQsYwp6XmnQr5g,0
12MmNvnLkANg9TTr78GLiDWvxaY53GJT8WvFuoN1pump,0
12Mz9xuZFgM5hXit3DLTFdAUXBk8P6EjEgQZJ6vbpump,0
12NGnowzVVJqnYyaQ5TC8dc2mqKUfrcTqzERThWNudpp,0
12NwKd2vamxMBzNemqaqHGoiPrkuwEk7yHeRB3dFdGXe,0
12PfdPGaBdWYHynDH1FtDY9ifFN1rtwm8j4oaJMe1yMb,0
12PjxU2kFvBnW4ZWQXDmecmcZcQCezJ5cZdJPatmpump,0
12Pq7sfNdpyURTWsunQpmu3qdrZMA8PGMbgDhDAopump,0
12QC8Yfu1v5tfG65HT1uvojkLmE6RdYu5tNzrQuiwzHw,0
12RA2JxcqMr9HjgG9h3ve4oRAwPvZHJ6W1qvrSRapump,0
12RLz7rZnRrGERPHvVngaR94iARtwA67YdvT7Pj4bH7T,0
12RV7c7GKNTBf76G8nf6zgrTrmW7NGWQkhk9B8nZX1Kn,0
12SgKEEtx9MvX2r9E718BUt2txNxy1WrWegnjh9Ypump,0
12VJzfD3TT92e6YcGzji1BKVAFhuUetzu4rWoAR8zUsp,0
