source,year,token_address,label_category,lifespan_hours
SolRPDS,2021,1C2EYVrwmoXAGbiKirFFBeDFDYUBHPhDeg9trhibTND,non-rug,511.2441666666667
SolRPDS,2021,25Vu6457o2gdZRGVVt5K8NbAvaP3esYaQNHbNDitVtw1,non-rug,33.35055555555556
SolRPDS,2021,273J3F8tD4yncTX1MA5VwHPLdxzg3VCvKYpEt34MSCBb,rug,0.4847222222222222
SolRPDS,2021,2A5esErqMaJXhrs1i6CtjbVxTbgsY9JbDedVsuVMQ6aY,rug,997.3388888888888
SolRPDS,2021,2ASbApnFVSTp2RJvMLgLVfbDwJvu1FRXdhJWrGs89Lhj,non-rug,529.2516666666667
SolRPDS,2021,2FKuYE5D75e9Fjg3ymGBrFfVc8tVKac4SeyvZn5dGNUz,non-rug,159.555
SolRPDS,2021,2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,non-rug,7018.784166666666
SolRPDS,2021,2FkuyFr3N9RzvVahPqzXKfa8H9KhYpChwQZSeMKkkVPJ,non-rug,1455.7777777777778
SolRPDS,2021,2G1MvHDHqsDd1uXQhditZS7ZSdkeGtM9iSqPt97G4QzY,rug,160.71055555555554
SolRPDS,2021,2Kc38rfQ49DFaKHQaWbijkE7fcymUMLY5guUiUsDmFfn,non-rug,2214.911111111111
SolRPDS,2021,2LxZrcJJhzcAju1FBHuGvw929EVkX7R7Q8yA2cdp8q7b,non-rug,670.7408333333333
SolRPDS,2021,2PoF4gqWg97yjJk276yUYaGVkkASE7tqAU7H5faEBkeC,rug,1380.753888888889
SolRPDS,2021,2QK9vxydd7WoDwvVFT5JSU8cwE9xmbJSzeqbRESiPGMG,non-rug,4442.246388888889
SolRPDS,2021,2XSuy8RSESbtYRBbVHxGWuoikn3B6iXKVKzN4i3owTCf,non-rug,753.8283333333334
SolRPDS,2021,2Xf2yAXJfg82sWwdLUo2x9mZXy6JCdszdMZkcF1Hf4KV,non-rug,4113.445833333333
SolRPDS,2021,2bXBmaYJwJfj5Cu8TDqLLrW1b9L7dK6sLgKoBBYRBzTH,rug,15.519444444444444
SolRPDS,2021,2e7yNwrmTgXp9ABUmcPXvFJTSrEVLj4YMyrb4GUM4Pdd,non-rug,1007.4966666666667
SolRPDS,2021,2jXy799YnEcRXneFo2GEAB6SDRsAa767HpWmktRr1DaP,non-rug,3881.675277777778
SolRPDS,2021,2kycGCD8tJbrjJJqWN2Qz5ysN9iB4Bth3Uic4mSB7uak,non-rug,3897.07
SolRPDS,2021,2mDJPcvv7vigZo9ZPxhHLpKQSixCkbohVY35eX6NkN6m,non-rug,724.9872222222223
SolRPDS,2021,2qfSePaCqvWkYnYUsYSm1VZYKtbzKYHh7gsnKcyrgspp,non-rug,255.69666666666666
SolRPDS,2021,2uRFEWRBQLEKpLmF8mohFZGDcFQmrkQEEZmHQvMUBvY7,non-rug,1571.3277777777778
